charts-service |192.168.0.101 |2023-11-28 11:19:30.311 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:30.328 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:30.339 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:30.356 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:30.374 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:30.396 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:30.410 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:30.418 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:30.931 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:30.954 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:30.969 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.015 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.065 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.076 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.083 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.092 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.105 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.118 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
charts-service |192.168.0.101 |2023-11-28 11:19:31.132 | ERROR | pool-1-thread-1 | com.teambytes.logback.flume.EventReporter$ReportingJob : 103 | Could not submit events to Flume
